Time                          Ro                            Delta Ro                      
0                             1                             0                              
0,001                         86304155064,9844              86304155063,9844               
0,002                         171799767804,568              85495612739,584                
0,003                         256494413065,826              84694645261,2578               
0,004                         340395594729,729              83901181663,9023               
0,005                         423510746376,973              83115151647,2441               
0,006                         505847231946,599              82336485569,626                
0,007                         587412346388,424              81565114441,8252               
0,008                         668213316309,375              80800969920,9512               
0,009                         748257300613,754              80043984304,3789               
0,01                          827551391137,517              79294090523,7627               
0,011                         906102613276,602              78551222139,085                
0,012                         983917926609,375              77815313332,7734               
0,013                         1061004225513,24              77086298903,8672               
0,014                         1137368339775,49              76364114262,2471               
0,015                         1213017035198,39              75648695422,9033               
0,016                         1287957014198,66              74939979000,2715               
0,017                         1362194916401,28              74237902202,6172               
0,018                         1435737319227,76              73542402826,4756               
0,019                         1508590738478,88              72853419251,126                
0,02                          1580761628912,04              72170890433,1553               
0,021                         1652256384813,06              71494755901,0244               
0,022                         1723081340562,8               70824955749,7373               
0,023                         1793242771198,3               70161430635,5039               
0,024                         1862746892968,81              69504121770,5107               
0,025                         1931599863886,5               68852970917,6904               
0,026                         1999807784272,08              68207920385,5762               
0,027                         2067376697295,26              67568913023,1797               
0,028                         2134312589510,2               66935892214,9414               
0,029                         2200621391385,9               66308801875,6963               
0,03                          2266308977831,62              65687586445,7178               
0,031                         2331381168717,41              65072190885,7979               
0,032                         2395843729389,77              64462560672,3545               
0,033                         2459702371182,39              63858641792,6172               
0,034                         2522962751922,22              63260380739,834                
0,035                         2585630476430,75              62667724508,5322               
0,036                         2647711097020,57              62080620589,8213               
0,037                         2709210113987,32              61499016966,7422               
0,038                         2770132976096,97              60922862109,6582               
0,039                         2830485081068,66              60352104971,6855               
0,04                          2890271776052,84              59786694984,1816               
0,041                         2949498358105,09              59226582052,251                
0,042                         3008170074655,4               58671716550,3125               
0,043                         3066292123973,11              58122049317,708                
0,044                         3123869655627,45              57577531654,3418               
0,045                         3180907770943,81              57038115316,3604               
0,046                         3237411523455,71              56503752511,8906               
0,047                         3293385919352,5               55974395896,7959               
0,048                         3348835917922,98              55449998570,4814               
0,049                         3403766431994,73              54930514071,7451               
0,05                          3458182328369,39              54415896374,6582               
0,051                         3512088428253,87              53906099884,4814               
0,052                         3565489507687,51              53401079433,6396               
0,053                         3618390297965,21              52900790277,7021               
0,054                         3670795486056,64              52405188091,4336               
0,055                         3722709715021,5               51914228964,8564               
0,056                         3774137584420,87              51427869399,3672               
0,057                         3825083650724,75              50946066303,8818               
0,058                         3875552427715,76              50468776991,0107               
0,059                         3925548386889,04              49995959173,2842               
0,06                          3975075957848,45              49527570959,4063               
0,061                         4024139528698,99              49063570850,5381               
0,062                         4072743446435,61              48603917736,624                
0,063                         4120892017328,36              48148570892,7471               
0,064                         4168589507303,88              47697489975,5254               
0,065                         4215840142323,42              47250635019,5361               
0,066                         4262648108757,19              46807966433,7666               
0,067                         4309017553755,31              46369444998,1211               
0,068                         4354952585615,24              45935031859,9326               
0,069                         4400457274145,77              45504688530,5303               
0,07                          4445535651027,59              45078376881,8232               
0,071                         4490191710170,52              44656059142,9229               
0,0720000000000001            4534429408067,32              44237697896,8027               
0,0730000000000001            4578252664144,29              43823256076,9707               
0,0740000000000001            4621665361108,49              43412696964,2031               
0,0750000000000001            4664671345291,76              43005984183,2715               
0,0760000000000001            4707274426991,5               42603081699,7363               
0,0770000000000001            4749478380808,24              42203953816,7432               
0,0780000000000001            4791286945980,11              41808565171,8662               
0,0790000000000001            4832703826714,09              41416880733,9756               
0,0800000000000001            4873732692514,21              41028865800,126                
0,0810000000000001            4914377178506,7               40644485992,4912               
0,0820000000000001            4954640885762,02              40263707255,3125               
0,0830000000000001            4994527381613,9               39886495851,8857               
0,0840000000000001            5034040199975,47              39512818361,5674               
0,0850000000000001            5073182841652,29              39142641676,8184               
0,0860000000000001            5111958774652,55              38775933000,2656               
0,0870000000000001            5150371434494,35              38412659841,7979               
0,0880000000000001            5188424224510,04              38052790015,6943               
0,0890000000000001            5226120516147,8               37696291637,7598               
0,0900000000000001            5263463649270,32              37343133122,5137               
0,0910000000000001            5300456932450,69              36993283180,375                
0,0920000000000001            5337103643265,61              36646710814,9121               
0,0930000000000001            5373407028585,68              36303385320,0723               
0,0940000000000001            5409370304863,16              35963276277,4844               
0,0950000000000001            5444996658416,9               35626353553,7402               
0,0960000000000001            5480289245714,65              35292587297,7471               
0,0970000000000001            5515251193652,72              34961947938,0713               
0,0980000000000001            5549885599833,03              34634406180,3125               
0,0990000000000001            5584195532837,56              34309933004,5244               
0,1                           5618184032500,19              33988499662,6318               
0,101                         5651854110176,07              33670077675,8809               
0,102                         5685208749008,4               33354638832,334                
0,103                         5718250904192,75              33042155184,3438               
0,104                         5750983503238,85              32732599046,0996               
0,105                         5783409446230,01              32425942991,166                
0,106                         5815531606080,06              32122159850,0449               
0,107                         5847352828787,85              31821222707,7871               
0,108                         5878875933689,44              31523104901,5898               
0,109                         5910103713707,88              31227780018,4404               
0,11                          5941038935600,66              30935221892,7822               
0,111                         5971684340204,85              30645404604,1895               
0,112                         6002042642679,91              30358302475,0664               
0,113                         6032116532748,3               30073890068,3906               
0,114                         6061908674933,74              29792142185,4316               
0,115                         6091421708797,28              29513033863,5479               
0,116                         6120658249171,24              29236540373,9531               
0,117                         6149620886390,77              28962637219,5352               
0,118                         6178312186523,46              28691300132,6826               
0,119                         6206734691596,59              28422505073,1387               
